genus,Unnamed: 0,OrigValueStr
ACAENA,49397.0,1.0
ADIANTUM,24155.5,0.5
ALISMA,30101.5,0.0
APERA,17155.0,1.0
ARCTOSTAPHYLOS,46417.26190476191,0.7857142857142857
ATROPA,17279.0,0.0
Abarema,70600.13333333333,0.9333333333333333
Abatia,31026.0,0.5
Abelia,56926.6,0.3
Abeliophyllum,142590.5,0.0
Abelmoschus,84344.5,0.5
Abiea,30136.5,1.0
Abies,73933.89946524064,0.9679144385026738
Abiu,80170.5,1.0
Abrahamia,154801.0,1.0
Abroma,142508.0,1.0
Abronia,68638.0,0.5714285714285714
Abrophyllum,68449.25,1.0
Abrus,46241.17647058824,0.058823529411764705
Abuta,36648.76470588235,1.0
Abutilon,67894.5,0.8076923076923077
Acacia,84815.72782608695,0.6739130434782609
Acaciella,146624.0,0.0
Acaena,138503.42857142858,1.0
Acaia,145869.0,1.0
Acalypha,57764.93023255814,0.9534883720930233
Acamptopappus,85420.6,0.8
Acanthaceae,139189.0,1.0
Acanthocladus,62785.0,1.0
Acanthococos,76441.0,1.0
Acantholimon,33358.0,1.0
Acantholippia,67414.42857142857,1.0
Acanthopsis,70844.5,0.0
Acanthospermum,137570.0,1.0
Acanthostyles,89718.0,1.0
Acanthosyris,77843.28571428571,0.42857142857142855
Acanthus,77469.33333333333,0.6666666666666666
Acca,144644.0,1.0
Acer,88707.55269168026,0.022185970636215333
Aceratium,121286.71428571429,1.0
Achatocarpus,67582.2,0.0
Achillea,63142.25581395349,0.3488372093023256
Achyranthes,137421.33333333334,1.0
Acianthus,71253.0,1.0
Acidocroton,138744.0,0.0
Acidoton,55740.0,1.0
Acinodendron,74996.13043478261,1.0
Acinos,20577.5,0.5
Aciotis,139037.0,1.0
Aciphylla,129220.4,0.8
Acmella,137703.0,1.0
Acmena,143905.0,1.0
Acmopyle,51644.0,1.0
Acoelorrhaphe,41864.0,1.0
Acokanthera,143284.0,1.0
Aconitum,43298.76190476191,0.14285714285714285
Acorus,61722.666666666664,0.0
Acosmium,107619.28205128205,0.1794871794871795
Acradenia,85379.2,1.0
Acridocarpus,141464.75,1.0
Acrisione,55232.0,1.0
Acrocarpus,86375.0,1.0
Acronychia,76964.35714285714,0.9464285714285714
Acrostichum,55756.0,1.0
Acrothamnus,72615.33333333333,1.0
Acrotome,139018.0,1.0
Acrotriche,101657.57894736843,1.0
Acsmithia,145191.0,1.0
Actaea,45911.5,0.0
Actephila,81100.14285714286,1.0
Actinidia,55837.620689655174,0.06896551724137931
Actinodaphne,100801.5,1.0
Actinostemon,86447.0,1.0
Actinostrobus,72258.8,1.0
Actinotus,21534.0,1.0
Adansonia,94046.4,0.0
Adelia,55622.11111111111,1.0
Adelobotrys,45256.666666666664,1.0
Adenandra,141694.66666666666,1.0
Adenanthera,96731.2,0.4
Adenanthos,48196.181818181816,1.0
Adenaria,60943.0,1.0
Adenia,108297.55555555556,0.3333333333333333
Adenium,116772.0,0.0
