AccSpeciesName,Unnamed: 0,OrigValueStr
ACAENA NOVAE-ZELANDIAE,49397,1
ADIANTUM CAPILLUS-VENERIS,24155.5,0.5
ALISMA PLANTAGO-AQUATICA,30101.5,0
APERA SPICA-VENTI,17155,1
ARCTOSTAPHYLOS UVA-URSI,46417.2619,0.785714286
ATROPA BELLA-DONNA,17279,0
Abarema adenophora,68568.6,1
Abarema alexandri var. troyana,67114,1
Abarema barbouriana,63199,1
Abarema curvicarpa,79517,1
Abarema jupunba,69809.44444,1
Abarema langsdorffii,112055,0
Abarema macradenia,63210,1
Abarema mataybifolia,56947.5,1
Abarema piresii,76405.5,1
Abatia parviflora,31026,0.5
Abelia biflora,53736.28571,0.142857143
Abelia dielsii,53393,0
Abelia grandiflora,69859.5,1
Abeliophyllum,142590,0
Abeliophyllum distichum,142591,0
Abelmoschus esculentus,30641,0
Abelmoschus moschatus,138048,1
Abiea amabilis,30136,1
Abiea balsamea,30137,1
Abies,73007.75,1
Abies alba,76069,1
Abies amabilis,74591.2043,1
Abies balsamea,66379.77165,0.771653543
Abies beshanzuensis,53174,1
Abies borisii-regis,87571,1
Abies bracteata,87427.33333,1
Abies cephalonica,83257,1
Abies chensiensis,87512,1
Abies chensiensis subsp. salouenensis,53175,1
Abies cilicica,96531.5,1
Abies concolor,62332.9375,1
Abies delavayi,87405.33333,1
Abies delavayi var. motuoensis,52704,1
Abies delavayi var. nukiangensis,52708,1
Abies densa,105884,1
Abies durangensis,55514,1
Abies fabri,68366,1
Abies fargesii,87407.66667,1
Abies fargesii var. faxoniana,111914.2143,1
Abies firma,85095.57143,1
Abies forrestii,94169.8,1
Abies forrestii var. ferreana,52705,1
Abies fraseri,24534.24074,1
Abies grandis,55436.25,1
Abies guatemalensis,104961.5,1
Abies holophylla,96487,1
Abies homolepis,77145.625,1
Abies kawakamii,87522,1
Abies koreana,96541,1
Abies lasiocarpa,90412.38312,0.993506494
Abies lasiocarpa var. arizonica,110518,1
Abies magnifica,89608,1
Abies magnifica var. shastensis,87967,1
Abies mariesii,78821.83333,1
Abies nebrodensis,88305,1
Abies nephrolepis,69542.71429,1
Abies nordmanniana,33487.26667,1
Abies nordmanniana subsp. equi-trojani,73378.25,1
Abies numidica,96760.5,1
Abies pindrow,87933.33333,1
Abies pindrow var. brevifolia,123591,1
Abies pinsapo,81523.83333,1
Abies pinsapo subsp. marocana,80656.66667,1
Abies procera,82445.18182,1
Abies recurvata,87531,1
Abies recurvata var. ernestii,103657,1
Abies religiosa,104756.5,1
Abies sachalinensis,75484.22222,1
Abies sibirica,105898.4706,1
Abies smithii,52709,1
Abies spectabilis,51989,1
Abies squamata,87535,1
Abies veitchii,42721.15094,1
Abies vejarii,104984.5,1
Abies yuanbaoshanensis,53179,1
Abies ziyuanensis,52710,1
Abiu,80167,1
Abiu caramuri,80174,1
Abrahamia sericea,154801,1
Abroma augusta,142508,1
Abronia fragrans,59422.5,1
Abronia maritima,84408.5,0
Abronia villosa,73959,0
Abrophyllum ornans,68449.25,1
Abrus precatorius,46241.17647,0.058823529
Abuta grandifolia,34394.57143,1
Abuta panamensis,33107,1
Abuta racemosa,66164,1
Abuta rufescens,39153.66667,1
Abutilon,139177,1
Abutilon angulatum,67033.25,1
Abutilon cryptopetalum,66136.5,1
Abutilon fraseri,65817.33333,1
Abutilon otocarpum,65820.5,1
Abutilon theophrasti,60714.8,0
Acacia,44561.18182,0.636363636
Acacia acanthoclada,142362,0
Acacia accola,143649,0
Acacia acinacea,140097,0
Acacia acradenia,41791.66667,1
Acacia aculeatissima,142363,0
Acacia acuminata,143651,0
Acacia adsurgens,41793.33333,1
Acacia adunca,143719,0
Acacia alata,140099,0
Acacia albida,109759.6667,0.555555556
Acacia alleniana,4049,1
Acacia amabilis,148813,0
Acacia amentacea,69667,1
Acacia ammobia,41794.66667,1
Acacia ampliceps,148815,0
Acacia ancistrocarpa,148816,0
Acacia aneura,66512.1875,1
Acacia anfractuosa,148817,0
Acacia angustissima,141328,0
Acacia arabica,149375,0
Acacia argyrophylla,148818,0
Acacia armata,149376,0
Acacia aroma,61946.6,0
Acacia ascendens,148819,0
Acacia aspera,148820,0
Acacia assimilis,148821,0
Acacia atkinsiana,148822,0
Acacia auriculata,155079,0
Acacia auriculiformis,83033.70213,1
Acacia ausfeldii,148824,0
Acacia australis,142380,0
Acacia baileyana,148825,0
Acacia bakeri,43140.33333,1
