accepted_bin,tax_genus,Unnamed: 0,OrigValueStr,tax_level
Abarema adenophora,Abarema,7.0,1.0,2.0
Abarema alexandri,Abarema,9518.0,1.0,2.0
Abarema barbouriana,Abarema,9.0,1.0,2.0
Abarema curvicarpa,Abarema,10.0,1.0,2.0
Abarema jupunba,Abarema,11.0,1.0,2.0
Abarema langsdorffii,Abarema,12.0,0.0,2.0
Abarema macradenia,Abarema,13.0,1.0,2.0
Abarema mataybifolia,Abarema,14.0,1.0,2.0
Abarema piresii,Abarema,15.0,1.0,2.0
Abatia parviflora,Abatia,16.0,0.5,2.0
Abelia biflora,Abelia,17.0,0.14285714300000002,2.0
Abelia dielsii,Abelia,18.0,0.0,2.0
Abelia grandiflora,Abelia,19.0,1.0,2.0
Abeliophyllum,Abeliophyllum,20.0,0.0,1.0
Abeliophyllum distichum,Abeliophyllum,21.0,0.0,2.0
Abelmoschus esculentus,Abelmoschus,22.0,0.0,2.0
Abelmoschus moschatus,Abelmoschus,23.0,1.0,2.0
Abies,Abies,26.0,1.0,1.0
Abies alba,Abies,27.0,1.0,2.0
Abies amabilis,Abies,26.0,1.0,2.0
Abies balsamea,Abies,27.0,0.8858267715,2.0
Abies beshanzuensis,Abies,30.0,1.0,2.0
Abies borisii-regis,Abies,31.0,1.0,2.0
Abies bracteata,Abies,32.0,1.0,2.0
Abies cephalonica,Abies,33.0,1.0,2.0
Abies chensiensis,Abies,34.5,1.0,2.0
Abies cilicica,Abies,36.0,1.0,2.0
Abies concolor,Abies,37.0,1.0,2.0
Abies delavayi,Abies,39.0,1.0,2.0
Abies densa,Abies,41.0,1.0,2.0
Abies durangensis,Abies,42.0,1.0,2.0
Abies fabri,Abies,43.0,1.0,2.0
Abies fargesii,Abies,44.5,1.0,2.0
Abies firma,Abies,46.0,1.0,2.0
Abies forrestii,Abies,47.5,1.0,2.0
Abies fraseri,Abies,49.0,1.0,2.0
Abies grandis,Abies,50.0,1.0,2.0
Abies guatemalensis,Abies,51.0,1.0,2.0
Abies holophylla,Abies,52.0,1.0,2.0
Abies homolepis,Abies,53.0,1.0,2.0
Abies kawakamii,Abies,54.0,1.0,2.0
