randomindex,X,system.index,Aridity_Index,Biome,CHELSA_Annual_Mean_Temperature,CHELSA_Annual_Precipitation,CHELSA_Isothermality,CHELSA_Max_Temperature_of_Warmest_Month,CHELSA_Mean_Diurnal_Range,CHELSA_Mean_Temperature_of_Coldest_Quarter,CHELSA_Mean_Temperature_of_Driest_Quarter,CHELSA_Mean_Temperature_of_Warmest_Quarter,CHELSA_Mean_Temperature_of_Wettest_Quarter,CHELSA_Min_Temperature_of_Coldest_Month,CHELSA_Precipitation_Seasonality,CHELSA_Precipitation_of_Coldest_Quarter,CHELSA_Precipitation_of_Driest_Month,CHELSA_Precipitation_of_Driest_Quarter,CHELSA_Precipitation_of_Warmest_Quarter,CHELSA_Precipitation_of_Wettest_Month,CHELSA_Precipitation_of_Wettest_Quarter,CHELSA_Temperature_Annual_Range,CHELSA_Temperature_Seasonality,Depth_to_Water_Table,EarthEnvCloudCover_MODCF_interannualSD,EarthEnvCloudCover_MODCF_intraannualSD,EarthEnvCloudCover_MODCF_meanannual,EarthEnvTopoMed_AspectCosine,EarthEnvTopoMed_AspectSine,EarthEnvTopoMed_Eastness,EarthEnvTopoMed_Elevation,EarthEnvTopoMed_Northness,EarthEnvTopoMed_ProfileCurvature,EarthEnvTopoMed_Roughness,EarthEnvTopoMed_Slope,Human_Development_Percentage,Human_Disturbance,LandCoverClass_Cultivated_and_Managed_Vegetation,LandCoverClass_Urban_Builtup,SG_Absolute_depth_to_bedrock,SG_Clay_Content_0_100cm,SG_Coarse_fragments_0_100cm,SG_Sand_Content_0_100cm,SG_Silt_Content_0_100cm,SG_Soil_pH_H2O_0_100cm,WDPA,WorldClim2_SolarRadiation_AnnualMean,WorldClim2_WindSpeed_AnnualMean,cropland,grazing,index,info_coverage,leaf_habit,no_plots,pasture,rangeland,year,.geo,longitude,latitude
2,2,00000000000000003bd7_0,9455,Tundra,-3.875506,624.30396,179.18582,157.91867,54.14199,-113.30727,-32.731827,116.669,18.57146,-144.23692,27.534935,154.33421,28.06673,92.21695,178.35158,73.13402,207.40178,302.1556,8568.972,16.614702,1356,682,5874,-0.648239,-0.75134814,-0.1973742,405,-0.22542295,-0.000222609,75,6.6483064,0,0.069802865,0,0,1168.6177,8.854267,18.741188,53.69184,37.442787,53.38451,0,7621.4165,2.025,1.6098216,0,0,0.984126984,0,1,0,0,2010,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.57916666666665,68.87916666666666]}",19.57916667,68.87916667
3,3,00000000000000003bfd_0,9667,Tundra,-1.0320518,336.91095,179.41269,159.17744,53.60599,-109.46855,25.50982,118.24341,117.05278,-139.60849,30.942013,86.23637,14.066992,46.200977,111.13591,43.05107,117.1867,298.78592,8466.597,22.1396,1063,1161,6421,0.98813426,0.14532319,0.018531803,334,0.45158762,-0.000193741,75,8.09224,0,0.07531746,0,0,1946.1287,6.382573,16.013626,58.915443,34.866943,55.870354,0,7610.1665,2.6666667,0.68640494,0,0,0.899999976,0,1,0,0,2010,"{""geodesic"":false,""type"":""Point"",""coordinates"":[20.620833333333337,69.2375]}",20.62083333,69.2375
23,23,000000000000000023bc_0,7399,Flooded grasslands,232.75436,1332.9318,406.03787,304.70026,69.71005,182.05765,199.2008,273.3546,272.24188,133.01666,65.92776,132,40,123.01644,626.9663,222.96657,644.966,171.68361,3441.896,4.3179812,1076,775,5734,0.1884037,-0.8234228,-0.27322096,14.5,0.117891744,3.28E-05,10.5,0.7807703,18,0.24409498,18,0,279.35526,7.756001,2.9570189,67.51407,24.798162,62.05679,0,17709.084,3.1833334,2.9547062,2.0758946,0,0.965517241,3.703704119,5,0,2.0758946,1970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.6125,26.362500000000004]}",-81.6125,26.3625
24,24,000000000000000023c4_0,7265,Flooded grasslands,233.9408,1323.0002,401.83966,304.45276,67.55625,184.16762,201.14095,274.0835,272.86603,136.33533,65.892944,128.03345,38,119,614.9671,223,637,168.11743,3388.0525,0.8651985,1101,994,6181,-0.7071073,0.09805869,0.015404576,10,-0.07724934,8.91E-07,2.5,0.12779064,78,0.491843,78,0,557.7978,5.523795,2.8707712,74.121414,20.454792,60.334373,0,17548.834,3.1666667,7.6788073,14.895419,0,0.966666667,3.281703724,1,14.895419,0,1970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.5625,26.22083333333333]}",-81.5625,26.22083333
25,25,000000000000000023fe_0,7460,Flooded grasslands,232.34535,1397.8656,424.8691,305.2005,73.830925,183.36555,200.19429,271.594,270.32764,131.42715,58.495934,143,41,133,591.89966,231.94983,627.88293,173.77335,3308.388,4.4769616,1039,737,6173,0.28967285,0.6828058,0.19308147,20,0.09160346,-1.51E-06,9,0.508644,26,0.06530376,26,0,1274.6615,9.626511,2.6604,66.03419,24.350859,64.32924,0,17673.166,2.9916666,15.496863,1.5082036,0,0.975000024,3.703704119,3,0,1.5082036,1970,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.02916666666667,26.27916666666667]}",-81.02916667,26.27916667
31,31,000000000000000020b2_0,9287,Tropical grasslands,208.28914,1471.5502,228.56366,307.7542,49.73899,125.136024,155.68842,283.87048,279.697,90.138756,15.495995,385.1669,92.03345,285.10034,413.10004,155.0666,459.16666,217.61545,5893.97,0,1120,712,5698,-0.99544775,0.08829753,0,0,-0.15213123,0,2,0.15774803,0,0.20757434,0,0,1417.6421,41.697617,3.3897924,16.16965,42.07905,56.610004,0,16086.25,3.4416666,15.237422,0.7341453,0,0.866666667,0.284900308,2,0,0.7341453,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.5625,30.054166666666667]}",-93.5625,30.05416667
36,36,000000000000000020e2_0,9673,Tropical grasslands,202.17116,1497.9513,272.2972,308.7051,63.567375,116.569786,151.10614,279.27646,275.69583,75.25667,11.549919,403.00027,102,316,396.98355,146.98355,430.9671,233.44846,6024,1.0277995,1220,682,5900,-0.9686271,0.023783322,0.014400674,9.5,-0.28687185,-1.01E-05,8,0.3831569,67,0.3200027,67,0,2669.3845,24.105965,0.08319345,23.607592,52.356216,56.81226,0,16030.667,2.85,41.885803,22.456732,0,0.805555556,12.29246324,1,0,22.456732,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.02916666666667,30.3125]}",-93.02916667,30.3125
40,40,0000000000000000211a_0,10275,Tropical grasslands,196.9032,1551.084,311.32825,310.35535,77.29634,109.52097,148.0922,274.9332,109.52097,62.076107,9.757894,433.04987,112.01672,354.00058,380.0329,152.98357,433.04987,248.27922,6115.678,1.9141998,1243,632,5788,-0.26432836,-0.29682893,-0.16692501,22,-0.17673135,-5.86E-05,11,0.66158366,0,0.3171536,0,0,1759.0597,19.549257,0.006266583,28.682383,51.75356,52.310986,0,16043.667,2.6499999,22.49642,12.115689,0,0.848484848,9.4602367,3,0,12.115689,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.67083333333333,30.52916666666667]}",-92.67083333,30.52916667
44,44,0000000000000000213c_0,9830,Tropical grasslands,199.77362,1524.2979,294.26648,306.76648,69.69191,114.833176,150.43207,275.59494,272.57858,69.933914,11.685834,406.86572,104.96657,328.89886,431.7498,153.91641,434.7495,236.83258,5958.277,4.763975,1283,748,5883,0.64408433,0.70865524,0.43116963,11,0.40097904,-4.97E-06,8.5,0.74776936,60,0.31460914,60,0,2039.922,25.402391,0.22479135,21.004213,53.573254,57.067413,0,16099.5,2.775,45.160187,1.8509221,0,0.904761905,2.534112632,3,1.8509221,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.5625,30.22083333333333]}",-92.5625,30.22083333
46,46,00000000000000002151_0,9627,Tropical grasslands,202.2178,1470.0165,282.06525,305.13687,64.64711,119.033485,152.8738,276.5976,273.6452,75.94484,15.169772,371.99973,99,308.99973,451.98355,163.98355,459.98383,229.19202,5852.9897,0,1217,842,5922,3.14E-07,6.28E-07,7.73E-08,2,1.94E-08,-5.56E-06,1,0.074689075,36,0.44428107,36,0,4408.127,35.92805,2.54E-05,12.990141,51.13824,61.59292,0,16076.167,2.975,51.43289,18.647848,0,0.949999988,2.241715263,3,18.647848,0,1974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.47083333333333,30.02916666666667]}",-92.47083333,30.02916667
